class_label,group_level,group_value,fold_count,importance_mean,importance_std,importance_min,importance_max
0,dilation,6,5,0.7611493726599564,0.02061522752541578,0.7397818725904702,0.7972792791600548
0,dilation,5,5,0.1897047009367806,0.028376813133662932,0.1505817254218046,0.2248722628243492
0,dilation,4,5,0.037809664726947564,0.012384304463352596,0.02862011011443023,0.06237022766303577
0,dilation,2,5,0.0038953900142183672,0.0019381545213808399,0.0017889259128958351,0.007309492476210616
0,dilation,1,5,0.0037541883194645367,0.0017301350407140828,0.0019180934609321306,0.006537999449573501
0,dilation,3,5,0.003686683342632495,0.0013303489664752105,0.0023473869971105117,0.005505494384810015
1,dilation,6,5,0.34423041515871783,0.025147118021797317,0.3104921967832603,0.386779736900284
1,dilation,5,5,0.2622422190189539,0.012612197597147226,0.23961116413737574,0.27852644064291954
1,dilation,4,5,0.15466300121914375,0.0069596997363392055,0.14555240294319027,0.16094561091045087
1,dilation,3,5,0.0939298872021362,0.009346906546170958,0.08511040175943653,0.11163742711284326
1,dilation,2,5,0.07651815447925961,0.003426567755034922,0.0717192246454796,0.08066241163071555
1,dilation,1,5,0.06841632292178872,0.004085680817875634,0.06376652398242869,0.07324125100418076
2,dilation,6,5,0.3054700604719479,0.019163696743308693,0.2835904361058266,0.3307686000815406
2,dilation,5,5,0.2267754548526777,0.01737968872729337,0.21157264797308278,0.2591737962603913
2,dilation,4,5,0.1883264672010452,0.013460698383457913,0.17010620013336075,0.20426267978660137
2,dilation,3,5,0.11129262302837446,0.011505604426774705,0.09298269766058204,0.12367911534803262
2,dilation,1,5,0.08809851494157682,0.015753339012551854,0.07089031244647466,0.11015545838060607
2,dilation,2,5,0.08003687950437789,0.013204926106146845,0.05993762008759237,0.10120149461145798
3,dilation,6,5,0.2688671302800184,0.02242540128506226,0.23468411878499182,0.30253397670484744
3,dilation,5,5,0.26090843585942614,0.024995990730878274,0.2189917034306636,0.29567785999430063
3,dilation,4,5,0.20072275864312047,0.009824126722698572,0.19252118239685118,0.21511114471758716
3,dilation,3,5,0.13696875690506188,0.017771013813277205,0.1258409424376821,0.17235263143939264
3,dilation,2,5,0.07550174630037845,0.008030608356975782,0.06847101536322944,0.08983720790045767
3,dilation,1,5,0.057031172011994605,0.007515996200199165,0.045570525708263476,0.06745792507653735
4,dilation,5,5,0.25862595910510106,0.019053085773441204,0.2298326354229295,0.2778769961952066
4,dilation,6,5,0.2529858998426314,0.01542659082001955,0.23574668370276872,0.27973478382854294
4,dilation,4,5,0.22242133529323932,0.017996914070901447,0.20506447941572994,0.2557754616839519
4,dilation,3,5,0.11897232526525195,0.015505404233724403,0.09782520157623119,0.1372354447530282
4,dilation,1,5,0.08163832401886775,0.007222309092681887,0.07002368804742086,0.09026892402392238
4,dilation,2,5,0.0653561564749085,0.006252731765673152,0.057175331738968674,0.07551203990573778
5,dilation,6,5,0.41805291865474165,0.020294152183256406,0.39277861696322386,0.44402849474300254
5,dilation,5,5,0.2787001612035611,0.01494434304474796,0.25956823709646193,0.3008971465835095
5,dilation,4,5,0.16819766495888339,0.013018820765807584,0.1504330391264292,0.18778337348212962
5,dilation,3,5,0.06472062243049037,0.008988870035305655,0.05252443768066843,0.07678417290954537
5,dilation,2,5,0.038478393339490866,0.007079087135733017,0.025619570614296445,0.04605297563726302
5,dilation,1,5,0.03185023941283267,0.0075404840850008354,0.017790542315971856,0.040296490584203475
