group_level,group_value,fold_count,importance_mean,importance_std,importance_min,importance_max,mean_rank,rank_std
dilation,6,5,0.40512343707254184,0.005913201974219669,0.39840383196357065,0.41564088740574995,1.0,0.0
dilation,5,5,0.24938544081299088,0.005859771863119082,0.24194561867090342,0.2562010141665129,2.0,0.0
dilation,4,5,0.1440355236223232,0.003928040020450218,0.1396831070819054,0.15057292427147848,3.0,0.0
dilation,3,5,0.07967499697218325,0.0069174190869008235,0.07106604238507853,0.08760787004060543,4.0,0.0
dilation,1,5,0.06197431679116635,0.0024292552625915704,0.05869782004493954,0.0660701961075225,5.4,0.48989794855663565
dilation,2,5,0.0598062847287945,0.003594425107872595,0.05542051921432899,0.06363029712015111,5.6,0.48989794855663565
