control,model,case_count,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,class_0_precision_mean,class_0_precision_std,class_0_precision_min,class_0_precision_max,class_0_recall_mean,class_0_recall_std,class_0_recall_min,class_0_recall_max,class_0_f1_mean,class_0_f1_std,class_0_f1_min,class_0_f1_max,class_1_precision_mean,class_1_precision_std,class_1_precision_min,class_1_precision_max,class_1_recall_mean,class_1_recall_std,class_1_recall_min,class_1_recall_max,class_1_f1_mean,class_1_f1_std,class_1_f1_min,class_1_f1_max,class_2_precision_mean,class_2_precision_std,class_2_precision_min,class_2_precision_max,class_2_recall_mean,class_2_recall_std,class_2_recall_min,class_2_recall_max,class_2_f1_mean,class_2_f1_std,class_2_f1_min,class_2_f1_max,class_3_precision_mean,class_3_precision_std,class_3_precision_min,class_3_precision_max,class_3_recall_mean,class_3_recall_std,class_3_recall_min,class_3_recall_max,class_3_f1_mean,class_3_f1_std,class_3_f1_min,class_3_f1_max,class_4_precision_mean,class_4_precision_std,class_4_precision_min,class_4_precision_max,class_4_recall_mean,class_4_recall_std,class_4_recall_min,class_4_recall_max,class_4_f1_mean,class_4_f1_std,class_4_f1_min,class_4_f1_max,class_5_precision_mean,class_5_precision_std,class_5_precision_min,class_5_precision_max,class_5_recall_mean,class_5_recall_std,class_5_recall_min,class_5_recall_max,class_5_f1_mean,class_5_f1_std,class_5_f1_min,class_5_f1_max
metadata_baseline,length_only_logistic,25,0.165266664016664,0.03577002711923638,0.11623161623161625,0.2049062049062049,0.22916666666666663,0.039528470752104736,0.16666666666666666,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28615384615384615,0.3698200425954838,0.0,1.0,0.125,0.13693063937629152,0.0,0.375,0.13235653235653236,0.11583846500764126,0.0,0.2857142857142857,0.28731527093596054,0.0699944261766992,0.20833333333333334,0.4166666666666667,0.625,0.23717082451262844,0.25,1.0,0.37374839124839127,0.08351872883958653,0.26666666666666666,0.5,0.10833333333333332,0.097182531580755,0.0,0.25,0.075,0.06123724356957946,0.0,0.125,0.0869047619047619,0.07217860186297198,0.0,0.16666666666666666,0.19586080586080584,0.10584924585474802,0.07692307692307693,0.35,0.45,0.4,0.125,1.0,0.25873015873015875,0.1758684315487561,0.09523809523809523,0.5,0.24,0.24801433650317697,0.0,0.6666666666666666,0.1,0.09354143466934854,0.0,0.25,0.13986013986013984,0.1350211847401082,0.0,0.36363636363636365
metadata_baseline,metadata_logistic,25,0.14495322988744042,0.05023939894228986,0.0925925925925926,0.2348579782790309,0.225,0.051706973524961904,0.14583333333333334,0.2916666666666667,0.05,0.1,0.0,0.25,0.025,0.05,0.0,0.125,0.03333333333333333,0.06666666666666667,0.0,0.16666666666666666,0.1393939393939394,0.17099073914746524,0.0,0.36363636363636365,0.125,0.19364916731037085,0.0,0.5,0.12057416267942585,0.16592319082635976,0.0,0.42105263157894735,0.30111721611721615,0.08624997751580116,0.20833333333333334,0.46153846153846156,0.675,0.203100960115899,0.375,1.0,0.4037698412698413,0.09510986738119144,0.3125,0.5714285714285714,0.05,0.1,0.0,0.25,0.025,0.05,0.0,0.125,0.03333333333333333,0.06666666666666667,0.0,0.16666666666666666,0.20488020600089565,0.08127049861528143,0.1,0.3181818181818182,0.5,0.37080992435478316,0.125,1.0,0.27870870870870873,0.14765251209305738,0.1111111111111111,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metadata_baseline,metadata_random_forest,25,0.21582047178877167,0.027592606153976088,0.17939261031366294,0.29175685425685427,0.2383333333333333,0.03177612660822936,0.1875,0.3125,0.15642857142857142,0.12201791829887705,0.0,0.5,0.155,0.10770329614269009,0.0,0.375,0.15412418300653594,0.11127297050306033,0.0,0.42857142857142855,0.08294993894993893,0.10845038767165045,0.0,0.3333333333333333,0.08,0.10535653752852739,0.0,0.375,0.07790578049401578,0.09945750112877245,0.0,0.3333333333333333,0.2848274503274503,0.08789915659005353,0.09090909090909091,0.5,0.385,0.13656500283747663,0.125,0.625,0.32316988433262495,0.09895649247812655,0.10526315789473684,0.5,0.14266666666666666,0.1469565317439896,0.0,0.5,0.075,0.07071067811865475,0.0,0.25,0.09416050616050615,0.08672613035095857,0.0,0.25,0.3906354574218351,0.08590512836083633,0.2857142857142857,0.5,0.495,0.1819340539866025,0.125,0.75,0.4082175471587236,0.09912844947606823,0.2,0.6,0.2587789987789988,0.10210149903911689,0.07692307692307693,0.4166666666666667,0.24,0.17999999999999997,0.125,0.625,0.23734492958022368,0.12649971584353892,0.09523809523809523,0.5
