macro_f1,balanced_accuracy,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,class_2_precision,class_2_recall,class_2_f1,class_2_support,class_3_precision,class_3_recall,class_3_f1,class_3_support,class_4_precision,class_4_recall,class_4_f1,class_4_support,class_5_precision,class_5_recall,class_5_f1,class_5_support,control,model,seed,fold,train_sample_count,test_sample_count
0.17498514557338085,0.14583333333333334,0.0,0.0,0.0,8.0,0.1111111111111111,0.125,0.11764705882352941,8.0,0.2222222222222222,0.25,0.23529411764705882,8.0,0.5,0.25,0.3333333333333333,8.0,0.0,0.0,0.0,8.0,0.6666666666666666,0.25,0.36363636363636365,8.0,label_shuffle,xrocket_random_forest_label_shuffle,13,2,192,48
0.1557361541107671,0.16666666666666666,0.14285714285714285,0.125,0.13333333333333333,8.0,0.0,0.0,0.0,8.0,0.2727272727272727,0.375,0.3157894736842105,8.0,0.125,0.125,0.125,8.0,0.2222222222222222,0.25,0.23529411764705882,8.0,0.125,0.125,0.125,8.0,label_shuffle,xrocket_logistic_regression_label_shuffle,13,2,192,48
0.07083333333333333,0.08333333333333333,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.125,0.125,0.125,8.0,0.0,0.0,0.0,8.0,0.25,0.375,0.3,8.0,label_shuffle,xrocket_random_forest_label_shuffle,13,3,192,48
0.17886710239651415,0.1875,0.1111111111111111,0.125,0.11764705882352941,8.0,0.0,0.0,0.0,8.0,0.14285714285714285,0.125,0.13333333333333333,8.0,0.2,0.25,0.2222222222222222,8.0,0.3,0.375,0.3333333333333333,8.0,0.2857142857142857,0.25,0.26666666666666666,8.0,label_shuffle,xrocket_logistic_regression_label_shuffle,13,3,192,48
0.2965219421101774,0.3125,0.75,0.75,0.75,8.0,0.3333333333333333,0.375,0.35294117647058826,8.0,0.16666666666666666,0.25,0.2,8.0,0.3,0.375,0.3333333333333333,8.0,0.0,0.0,0.0,8.0,0.16666666666666666,0.125,0.14285714285714285,8.0,label_shuffle,xrocket_random_forest_label_shuffle,13,4,192,48
0.20826330532212886,0.22916666666666666,0.25,0.25,0.25,8.0,0.2222222222222222,0.25,0.23529411764705882,8.0,0.3076923076923077,0.5,0.38095238095238093,8.0,0.25,0.25,0.25,8.0,0.0,0.0,0.0,8.0,0.14285714285714285,0.125,0.13333333333333333,8.0,label_shuffle,xrocket_logistic_regression_label_shuffle,13,4,192,48
0.11467340559412172,0.125,0.25,0.125,0.16666666666666666,8.0,0.2,0.375,0.2608695652173913,8.0,0.16666666666666666,0.125,0.14285714285714285,8.0,0.0,0.0,0.0,8.0,0.1111111111111111,0.125,0.11764705882352941,8.0,0.0,0.0,0.0,8.0,label_shuffle,xrocket_random_forest_label_shuffle,29,0,192,48
0.09524886877828054,0.10416666666666667,0.0,0.0,0.0,8.0,0.25,0.375,0.3,8.0,0.2,0.125,0.15384615384615385,8.0,0.0,0.0,0.0,8.0,0.1111111111111111,0.125,0.11764705882352941,8.0,0.0,0.0,0.0,8.0,label_shuffle,xrocket_logistic_regression_label_shuffle,29,0,192,48
0.17702472293265134,0.1875,0.2222222222222222,0.25,0.23529411764705882,8.0,0.13333333333333333,0.25,0.17391304347826086,8.0,0.25,0.125,0.16666666666666666,8.0,0.0,0.0,0.0,8.0,0.3333333333333333,0.375,0.35294117647058826,8.0,0.14285714285714285,0.125,0.13333333333333333,8.0,label_shuffle,xrocket_random_forest_label_shuffle,29,1,192,48
0.3150588102987484,0.3125,0.18181818181818182,0.25,0.21052631578947367,8.0,0.5,0.5,0.5,8.0,0.375,0.375,0.375,8.0,0.1111111111111111,0.125,0.11764705882352941,8.0,0.5714285714285714,0.5,0.5333333333333333,8.0,0.2,0.125,0.15384615384615385,8.0,label_shuffle,xrocket_logistic_regression_label_shuffle,29,1,192,48
0.1340862840862841,0.125,0.0,0.0,0.0,8.0,0.1,0.125,0.1111111111111111,8.0,0.3333333333333333,0.25,0.2857142857142857,8.0,0.2,0.125,0.15384615384615385,8.0,0.08333333333333333,0.125,0.1,8.0,0.2,0.125,0.15384615384615385,8.0,label_shuffle,xrocket_random_forest_label_shuffle,29,2,192,48
0.09226190476190477,0.10416666666666667,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.16666666666666666,0.125,0.14285714285714285,8.0,0.0,0.0,0.0,8.0,0.23076923076923078,0.375,0.2857142857142857,8.0,0.125,0.125,0.125,8.0,label_shuffle,xrocket_logistic_regression_label_shuffle,29,2,192,48
0.18997113997113999,0.22916666666666666,0.0,0.0,0.0,8.0,0.2857142857142857,0.5,0.36363636363636365,8.0,0.3,0.375,0.3333333333333333,8.0,0.0,0.0,0.0,8.0,0.25,0.375,0.3,8.0,0.16666666666666666,0.125,0.14285714285714285,8.0,label_shuffle,xrocket_random_forest_label_shuffle,29,3,192,48
