sample_id,filename,channel,min,max,mean,original_length
ksas_m0_p10_i,0-10-i.csv,gravity_x,0.788,1.556,1.29706976744186,43
ksas_m0_p10_i,0-10-i.csv,gravity_y,-1.465,-1.25,-1.399279069767442,43
ksas_m0_p10_i,0-10-i.csv,gravity_z,9.581,9.683,9.616534883720933,43
ksas_m0_p10_i,0-10-i.csv,gyros_x,-0.094,0.195,0.03823255813953488,43
ksas_m0_p10_i,0-10-i.csv,gyros_y,-0.281,0.287,-0.0542093023255814,43
ksas_m0_p10_i,0-10-i.csv,gyros_z,-0.176,0.108,-0.00527906976744186,43
ksas_m0_p10_i,0-10-i.csv,lin_accel_x,-0.93,0.566,-0.05095348837209302,43
ksas_m0_p10_i,0-10-i.csv,lin_accel_y,-0.226,0.479,0.00706976744186046,43
ksas_m0_p10_i,0-10-i.csv,lin_accel_z,-2.004,0.577,-0.2741162790697673,43
ksas_m0_p10_i,0-10-i.csv,game_rot_vec_x,-0.02,0.008,-0.0034186046511627912,43
ksas_m0_p10_i,0-10-i.csv,game_rot_vec_y,-0.107,0.0,-0.09555813953488372,43
ksas_m0_p10_i,0-10-i.csv,game_rot_vec_z,0.0,0.709,0.6873255813953486,43
ksas_m0_p10_i,0-10-i.csv,magn_field_x,9.845,15.422,12.782069767441861,43
ksas_m0_p10_i,0-10-i.csv,magn_field_y,23.955,28.761,26.33746511627907,43
ksas_m0_p10_i,0-10-i.csv,magn_field_z,-26.996,-22.803,-24.85895348837209,43
ksas_m0_p11_d,0-11-d.csv,accelerometer_x,1.338,5.66,3.402192307692308,52
ksas_m0_p11_d,0-11-d.csv,accelerometer_y,-2.873,-1.573,-2.245384615384615,52
ksas_m0_p11_d,0-11-d.csv,accelerometer_z,7.422,11.085,8.985692307692307,52
ksas_m0_p11_d,0-11-d.csv,gravity_x,2.094,5.369,3.6794038461538463,52
ksas_m0_p11_d,0-11-d.csv,gravity_y,-2.542,-1.987,-2.2422692307692307,52
ksas_m0_p11_d,0-11-d.csv,gravity_z,7.846,9.343,8.711153846153845,52
ksas_m0_p11_d,0-11-d.csv,gyros_x,-0.29,0.168,-0.021230769230769223,52
ksas_m0_p11_d,0-11-d.csv,gyros_y,-1.343,0.194,-0.35553846153846147,52
ksas_m0_p11_d,0-11-d.csv,gyros_z,-0.154,0.219,0.09074999999999998,52
ksas_m0_p11_d,0-11-d.csv,lin_accel_x,-0.971,0.865,-0.029961538461538453,52
ksas_m0_p11_d,0-11-d.csv,lin_accel_y,-0.412,0.626,0.024365384615384605,52
ksas_m0_p11_d,0-11-d.csv,lin_accel_z,-1.644,1.192,-0.14011538461538453,52
ksas_m0_p11_d,0-11-d.csv,game_rot_vec_x,0.0,0.127,0.05986538461538464,52
ksas_m0_p11_d,0-11-d.csv,game_rot_vec_y,-0.292,0.0,-0.21544230769230768,52
ksas_m0_p11_d,0-11-d.csv,game_rot_vec_z,0.0,0.713,0.6885384615384615,52
ksas_m0_p11_d,0-11-d.csv,magn_field_x,-0.569,9.142,4.985384615384613,52
ksas_m0_p11_d,0-11-d.csv,magn_field_y,28.665,33.65,31.433673076923075,52
ksas_m0_p11_d,0-11-d.csv,magn_field_z,-26.863,-22.07,-24.272307692307688,52
ksas_m0_p11_i,0-11-i.csv,accelerometer_x,-2.244,2.827,0.6451071428571427,28
ksas_m0_p11_i,0-11-i.csv,accelerometer_y,-3.096,-1.417,-2.0933571428571427,28
ksas_m0_p11_i,0-11-i.csv,accelerometer_z,8.955,11.073,9.667392857142858,28
ksas_m0_p11_i,0-11-i.csv,gravity_x,0.003,1.96,0.6797857142857143,28
ksas_m0_p11_i,0-11-i.csv,gravity_y,-2.663,-1.935,-2.178142857142858,28
ksas_m0_p11_i,0-11-i.csv,gravity_z,9.39,9.614,9.520714285714286,28
ksas_m0_p11_i,0-11-i.csv,gyros_x,-0.464,0.031,-0.18578571428571428,28
ksas_m0_p11_i,0-11-i.csv,gyros_y,-0.342,0.515,-0.022892857142857152,28
ksas_m0_p11_i,0-11-i.csv,gyros_z,-0.646,0.287,-0.17135714285714285,28
ksas_m0_p11_i,0-11-i.csv,lin_accel_x,-2.451,2.0,-0.040249999999999835,28
ksas_m0_p11_i,0-11-i.csv,lin_accel_y,-0.829,0.611,0.07532142857142861,28
ksas_m0_p11_i,0-11-i.csv,lin_accel_z,-0.974,2.098,0.2161071428571428,28
ksas_m0_p11_i,0-11-i.csv,game_rot_vec_x,-0.071,0.0,-0.055642857142857154,28
