group_level,left_fold,right_fold,spearman_rank_correlation
sensor_family,0,1,0.942857142857143
sensor_family,0,2,0.942857142857143
sensor_family,0,3,1.0
sensor_family,0,4,1.0
sensor_family,1,2,1.0
sensor_family,1,3,0.942857142857143
sensor_family,1,4,0.942857142857143
sensor_family,2,3,0.942857142857143
sensor_family,2,4,0.942857142857143
sensor_family,3,4,1.0
axis,0,1,0.5
axis,0,2,1.0
axis,0,3,1.0
axis,0,4,1.0
axis,1,2,0.5
axis,1,3,0.5
axis,1,4,0.5
axis,2,3,1.0
axis,2,4,1.0
axis,3,4,1.0
channel,0,1,0.6656346749226005
channel,0,2,0.7977296181630547
channel,0,3,0.7481940144478844
channel,0,4,0.8658410732714137
channel,1,2,0.6924664602683178
channel,1,3,0.6553147574819401
channel,1,4,0.7378740970072238
channel,2,3,0.7564499484004128
channel,2,4,0.9009287925696594
channel,3,4,0.8080495356037152
family_axis,0,1,0.6656346749226005
family_axis,0,2,0.7977296181630547
family_axis,0,3,0.7481940144478844
family_axis,0,4,0.8658410732714137
family_axis,1,2,0.6924664602683178
family_axis,1,3,0.6553147574819401
family_axis,1,4,0.7378740970072238
family_axis,2,3,0.7564499484004128
family_axis,2,4,0.9009287925696594
family_axis,3,4,0.8080495356037152
channel_combination,0,1,0.6656346749226005
channel_combination,0,2,0.7977296181630547
channel_combination,0,3,0.7481940144478844
channel_combination,0,4,0.8658410732714137
channel_combination,1,2,0.6924664602683178
channel_combination,1,3,0.6553147574819401
channel_combination,1,4,0.7378740970072238
channel_combination,2,3,0.7564499484004128
channel_combination,2,4,0.9009287925696594
channel_combination,3,4,0.8080495356037152
