method,fold,group_level,group_value,baseline_macro_f1,metric_macro_f1,macro_f1_drop,baseline_balanced_accuracy,metric_balanced_accuracy,balanced_accuracy_drop,positive_macro_f1_drop,normalized_positive_drop
ablation,1,channel,lin_accel_x,0.8749183006535949,0.894281045751634,-0.019362745098039147,0.875,0.8958333333333334,-0.02083333333333337,0.0,0.0
ablation,1,channel,lin_accel_y,0.8749183006535949,0.8488328664799254,0.026085434173669486,0.875,0.8541666666666666,0.02083333333333337,0.026085434173669486,0.18244897959183595
ablation,1,channel,lin_accel_z,0.8749183006535949,0.8282913165266107,0.04662698412698418,0.875,0.8333333333333334,0.04166666666666663,0.04662698412698418,0.3261224489795906
ablation,1,channel,magn_field_x,0.8749183006535949,0.875,-8.169934640511745e-05,0.875,0.875,0.0,0.0,0.0
ablation,1,channel,magn_field_y,0.8749183006535949,0.8758986928104576,-0.0009803921568627416,0.875,0.875,0.0,0.0,0.0
ablation,1,channel,magn_field_z,0.8749183006535949,0.8968137254901961,-0.02189542483660123,0.875,0.8958333333333334,-0.02083333333333337,0.0,0.0
ablation,2,sensor_family,accelerometer,0.7969298245614036,0.7969298245614036,0.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0
ablation,2,sensor_family,game_rot_vec,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,sensor_family,gravity,0.7969298245614036,0.7969298245614036,0.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0
ablation,2,sensor_family,gyros,0.7969298245614036,0.7969298245614036,0.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0
ablation,2,sensor_family,lin_accel,0.7969298245614036,0.7756996658312448,0.021230158730158766,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.021230158730158766,1.0
ablation,2,sensor_family,magn_field,0.7969298245614036,0.7969298245614036,0.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0
ablation,2,channel,accelerometer_x,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,channel,accelerometer_y,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,channel,accelerometer_z,0.7969298245614036,0.7718253968253969,0.02510442773600674,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.02510442773600674,0.17553323998591175
ablation,2,channel,game_rot_vec_x,0.7969298245614036,0.7756996658312448,0.021230158730158766,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.021230158730158766,0.14844387557876804
ablation,2,channel,game_rot_vec_y,0.7969298245614036,0.7756996658312448,0.021230158730158766,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.021230158730158766,0.14844387557876804
ablation,2,channel,game_rot_vec_z,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,channel,gravity_x,0.7969298245614036,0.7938025210084034,0.0031273035530001714,0.7916666666666666,0.7916666666666666,0.0,0.0031273035530001714,0.021866490280128253
ablation,2,channel,gravity_y,0.7969298245614036,0.7756996658312448,0.021230158730158766,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.021230158730158766,0.14844387557876804
ablation,2,channel,gravity_z,0.7969298245614036,0.7756996658312448,0.021230158730158766,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.021230158730158766,0.14844387557876804
ablation,2,channel,gyros_x,0.7969298245614036,0.7930555555555556,0.0038742690058479745,0.7916666666666666,0.7916666666666666,0.0,0.0038742690058479745,0.027089364407143705
ablation,2,channel,gyros_y,0.7969298245614036,0.7964863138237751,0.00044351073762849413,0.7916666666666666,0.7916666666666666,0.0,0.00044351073762849413,0.0031010815129162003
ablation,2,channel,gyros_z,0.7969298245614036,0.7930555555555556,0.0038742690058479745,0.7916666666666666,0.7916666666666666,0.0,0.0038742690058479745,0.027089364407143705
ablation,2,channel,lin_accel_x,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,channel,lin_accel_y,0.7969298245614036,0.7969298245614036,0.0,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0
ablation,2,channel,lin_accel_z,0.7969298245614036,0.7756996658312448,0.021230158730158766,0.7916666666666666,0.7708333333333334,0.02083333333333326,0.021230158730158766,0.14844387557876804
ablation,2,channel,magn_field_x,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,channel,magn_field_y,0.7969298245614036,0.8150326797385622,-0.018102855177158594,0.7916666666666666,0.8125,-0.02083333333333337,0.0,0.0
ablation,2,channel,magn_field_z,0.7969298245614036,0.7964863138237751,0.00044351073762849413,0.7916666666666666,0.7916666666666666,0.0,0.00044351073762849413,0.0031010815129162003
ablation,3,sensor_family,accelerometer,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,sensor_family,game_rot_vec,0.8454592363261094,0.8263784146137088,0.019080821712400664,0.8541666666666666,0.8333333333333334,0.02083333333333326,0.019080821712400664,1.0
ablation,3,sensor_family,gravity,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,sensor_family,gyros,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,sensor_family,lin_accel,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,sensor_family,magn_field,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,accelerometer_x,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,accelerometer_y,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,accelerometer_z,0.8454592363261094,0.8229847494553377,0.022474486870771693,0.8541666666666666,0.8333333333333334,0.02083333333333326,0.022474486870771693,0.21992533931769623
ablation,3,channel,game_rot_vec_x,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,game_rot_vec_y,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,game_rot_vec_z,0.8454592363261094,0.8229847494553377,0.022474486870771693,0.8541666666666666,0.8333333333333334,0.02083333333333326,0.022474486870771693,0.21992533931769623
ablation,3,channel,gravity_x,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,gravity_y,0.8454592363261094,0.8263784146137088,0.019080821712400664,0.8541666666666666,0.8333333333333334,0.02083333333333326,0.019080821712400664,0.18671644045486918
ablation,3,channel,gravity_z,0.8454592363261094,0.8263784146137088,0.019080821712400664,0.8541666666666666,0.8333333333333334,0.02083333333333326,0.019080821712400664,0.18671644045486918
ablation,3,channel,gyros_x,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,gyros_y,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,gyros_z,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,lin_accel_x,0.8454592363261094,0.8263784146137088,0.019080821712400664,0.8541666666666666,0.8333333333333334,0.02083333333333326,0.019080821712400664,0.18671644045486918
ablation,3,channel,lin_accel_y,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,lin_accel_z,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
ablation,3,channel,magn_field_x,0.8454592363261094,0.8454592363261094,0.0,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0
