class_label,group_level,group_value,fold_count,importance_mean,importance_std,importance_min,importance_max
0,sensor_family,magn_field,5,0.1964979476298156,0.021279325766075247,0.17093251825700653,0.23474716139487806
0,sensor_family,accelerometer,5,0.19057264736948512,0.030139798349828818,0.15938917125711616,0.2365874727829432
0,sensor_family,game_rot_vec,5,0.17393100297227332,0.021599347370726222,0.15288698712578183,0.2084848423316286
0,sensor_family,gyros,5,0.16088015633186661,0.01668791448495834,0.13736552729534793,0.18432222539194293
0,sensor_family,gravity,5,0.14483567677218895,0.010871582137113627,0.1265871398694826,0.1561325861243037
0,sensor_family,lin_accel,5,0.13328256892437046,0.0226110148843645,0.09905457686381375,0.1649404722935526
1,sensor_family,gravity,5,0.20112192603402765,0.009355996320530507,0.18788624806475032,0.21302391178146923
1,sensor_family,gyros,5,0.19541289488738814,0.011487052027408844,0.18722281276531025,0.2174818534561136
1,sensor_family,magn_field,5,0.1911792921382755,0.006296563952922373,0.18146770271661491,0.19879385308701442
1,sensor_family,game_rot_vec,5,0.16411914287162122,0.009065420006547977,0.1524033108523745,0.1778643590733842
1,sensor_family,accelerometer,5,0.12967362761090373,0.010884234512564898,0.11702673907833543,0.14476428064755767
1,sensor_family,lin_accel,5,0.11849311645778374,0.008023716531971401,0.10547305802552745,0.13056788864910124
2,sensor_family,gravity,5,0.19521393426555306,0.01733636842549721,0.16875862100791147,0.2218313606886555
2,sensor_family,gyros,5,0.18152656522201358,0.013151954167168144,0.16663683042979102,0.20617720031095615
2,sensor_family,accelerometer,5,0.17232573560178704,0.011335414212201522,0.16153947771899463,0.19107406940859414
2,sensor_family,lin_accel,5,0.1638216488946959,0.012757601737305679,0.1462065734532538,0.18234833281543114
2,sensor_family,game_rot_vec,5,0.15385294656249193,0.006407617940229078,0.14332107800729427,0.1605131441520681
2,sensor_family,magn_field,5,0.13325916945345845,0.012951825116137145,0.11240492893132667,0.14719764616182404
3,sensor_family,accelerometer,5,0.2044736571788738,0.01139279726873447,0.19257247894388058,0.21979471254320737
3,sensor_family,gravity,5,0.20199698316189907,0.013759450283313324,0.1797036853633337,0.21553045502284898
3,sensor_family,lin_accel,5,0.17060727093840158,0.012599865063081118,0.1599715170625017,0.1912337519128101
3,sensor_family,gyros,5,0.15247687458799214,0.022033399699858368,0.1264021452078876,0.19213629671350446
3,sensor_family,game_rot_vec,5,0.1479436535127531,0.015398840435887363,0.12202240070954332,0.168014295517742
3,sensor_family,magn_field,5,0.12250156062008036,0.0056105571530695375,0.11243514530424566,0.12822361714237124
4,sensor_family,gravity,5,0.22166911739667466,0.019331289446988274,0.1931572876769237,0.24401425616255915
4,sensor_family,game_rot_vec,5,0.20569311589421546,0.011170774855671861,0.1919325594356827,0.21900924979201658
4,sensor_family,gyros,5,0.15878776145735762,0.013823478923810526,0.14200974311165673,0.18322156012607013
4,sensor_family,magn_field,5,0.15241773358236485,0.019583759736446254,0.123664929500381,0.17975333979043467
4,sensor_family,accelerometer,5,0.1373793715935461,0.013543470188895408,0.11678010463785725,0.1570739854346706
4,sensor_family,lin_accel,5,0.12405290007584129,0.004693744739851106,0.11963837583286781,0.13237332441660554
5,sensor_family,gravity,5,0.23178187490864569,0.02102358387483745,0.21098972782923447,0.26733287799345157
5,sensor_family,accelerometer,5,0.1927444731214989,0.007929392996666873,0.17899704455036747,0.1999343959026157
5,sensor_family,game_rot_vec,5,0.18277340668352834,0.008070381298341497,0.16727442450672725,0.19012781375344595
5,sensor_family,gyros,5,0.15110384630295845,0.008705672360098825,0.13928210151091044,0.16446918081068712
5,sensor_family,magn_field,5,0.14229207601425048,0.01398157266332018,0.11744811078216551,0.15571675153156908
5,sensor_family,lin_accel,5,0.09930432296911815,0.00818630904124076,0.0910402311169936,0.1110180815309217
