group_level,left_fold,right_fold,top_k,jaccard_overlap
sensor_family,0,1,3,0.5
sensor_family,0,2,3,0.5
sensor_family,0,3,3,1.0
sensor_family,0,4,3,1.0
sensor_family,1,2,3,1.0
sensor_family,1,3,3,0.5
sensor_family,1,4,3,0.5
sensor_family,2,3,3,0.5
sensor_family,2,4,3,0.5
sensor_family,3,4,3,1.0
axis,0,1,3,1.0
axis,0,2,3,1.0
axis,0,3,3,1.0
axis,0,4,3,1.0
axis,1,2,3,1.0
axis,1,3,3,1.0
axis,1,4,3,1.0
axis,2,3,3,1.0
axis,2,4,3,1.0
axis,3,4,3,1.0
channel,0,1,3,0.2
channel,0,2,3,0.5
channel,0,3,3,0.2
channel,0,4,3,0.5
channel,1,2,3,0.2
channel,1,3,3,0.5
channel,1,4,3,0.2
channel,2,3,3,0.5
channel,2,4,3,1.0
channel,3,4,3,0.5
family_axis,0,1,3,0.2
family_axis,0,2,3,0.5
family_axis,0,3,3,0.2
family_axis,0,4,3,0.5
family_axis,1,2,3,0.2
family_axis,1,3,3,0.5
family_axis,1,4,3,0.2
family_axis,2,3,3,0.5
family_axis,2,4,3,1.0
family_axis,3,4,3,0.5
channel_combination,0,1,3,0.2
channel_combination,0,2,3,0.5
channel_combination,0,3,3,0.2
channel_combination,0,4,3,0.5
channel_combination,1,2,3,0.2
channel_combination,1,3,3,0.5
channel_combination,1,4,3,0.2
channel_combination,2,3,3,0.5
channel_combination,2,4,3,1.0
channel_combination,3,4,3,0.5
