fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
4,train,0,ksas_m0_p01_d,27,0.5178571428571428,1,9,False,0.22260147333145142,0.4986772835254669
4,train,1,ksas_m0_p01_i,31,0.4464285714285714,1,9,False,0.18404605984687805,0.37442395091056824
4,train,2,ksas_m0_p10_d,33,0.4107142857142857,1,9,False,0.1681293547153473,0.31114718317985535
4,train,3,ksas_m0_p10_i,43,0.2321428571428571,1,9,False,0.08130499720573425,0.1943521499633789
4,train,4,ksas_m0_p11_d,52,0.0714285714285714,1,9,False,0.025361215695738792,0.06730771064758301
4,train,5,ksas_m0_p11_i,28,0.5,1,9,False,0.21684855222702026,0.4464285671710968
4,train,6,ksas_m0_p12_d,39,0.3035714285714286,1,9,False,0.1120704784989357,0.26236265897750854
4,train,7,ksas_m0_p12_i,18,0.6785714285714286,1,9,False,0.2935090661048889,0.5853174924850464
4,train,8,ksas_m0_p13_d,38,0.3214285714285714,1,9,False,0.12490800023078918,0.2697368264198303
4,train,9,ksas_m0_p13_i,40,0.2857142857142857,1,9,False,0.10656651854515076,0.27142858505249023
4,train,10,ksas_m0_p14_d,34,0.3928571428571429,1,9,False,0.15944363176822662,0.3928571343421936
4,train,11,ksas_m0_p14_i,31,0.4464285714285714,1,9,False,0.1867433786392212,0.4176267385482788
4,train,12,ksas_m0_p15_d,41,0.2678571428571429,1,9,False,0.09744921326637268,0.20252615213394165
4,train,13,ksas_m0_p15_i,40,0.2857142857142857,1,9,False,0.10633976012468338,0.23571425676345825
4,train,14,ksas_m0_p16_d,30,0.4642857142857143,1,9,False,0.19869378209114075,0.44880950450897217
4,train,15,ksas_m0_p16_i,28,0.5,1,9,False,0.21221891045570374,0.4821428656578064
4,train,18,ksas_m0_p18_d,23,0.5892857142857143,1,9,False,0.2520062029361725,0.5380434989929199
4,train,19,ksas_m0_p18_i,38,0.3214285714285714,1,9,False,0.12590816617012024,0.29605263471603394
4,train,20,ksas_m0_p19_d,35,0.375,1,9,False,0.1433437317609787,0.3642857074737549
4,train,21,ksas_m0_p19_i,39,0.3035714285714286,1,9,False,0.11293354630470276,0.2646520137786865
4,train,22,ksas_m0_p02_d,32,0.4285714285714286,1,9,False,0.17821121215820312,0.3883928656578064
4,train,23,ksas_m0_p02_i,29,0.4821428571428571,1,9,False,0.20253977179527283,0.4322660267353058
4,train,24,ksas_m0_p20_d,36,0.3571428571428571,1,9,False,0.1455511897802353,0.3373015522956848
4,train,25,ksas_m0_p20_i,22,0.6071428571428572,1,9,False,0.26705726981163025,0.5162338018417358
4,train,28,ksas_m0_p04_d,49,0.125,1,9,False,0.030762404203414917,0.09438776969909668
4,train,29,ksas_m0_p04_i,44,0.2142857142857143,1,9,False,0.07446596026420593,0.1753246784210205
4,train,30,ksas_m0_p05_d,25,0.5535714285714286,1,9,False,0.23582673072814941,0.4692856967449188
4,train,31,ksas_m0_p05_i,34,0.3928571428571429,1,9,False,0.15994106233119965,0.31197476387023926
4,train,32,ksas_m0_p06_d,40,0.2857142857142857,1,9,False,0.10745228826999664,0.2428571581840515
4,train,33,ksas_m0_p06_i,38,0.3214285714285714,1,9,False,0.1256651133298874,0.30451130867004395
4,train,36,ksas_m0_p08_d,44,0.2142857142857143,1,9,False,0.07415459305047989,0.1753246784210205
4,train,37,ksas_m0_p08_i,27,0.5178571428571428,1,9,False,0.22364294528961182,0.4986772835254669
4,train,40,ksas_m1_p01_d,36,0.3571428571428571,1,9,False,0.14338073134422302,0.2876984477043152
4,train,41,ksas_m1_p01_i,41,0.2678571428571429,1,9,False,0.09882554411888123,0.24172472953796387
4,train,42,ksas_m1_p10_d,27,0.5178571428571428,1,9,False,0.22719129920005798,0.42195767164230347
4,train,43,ksas_m1_p10_i,26,0.5357142857142857,1,9,False,0.23240087926387787,0.4354395568370819
4,train,44,ksas_m1_p11_d,39,0.3035714285714286,1,9,False,0.11367123574018478,0.24130040407180786
4,train,45,ksas_m1_p11_i,39,0.3035714285714286,1,9,False,0.11672495305538177,0.25457876920700073
4,train,46,ksas_m1_p12_d,29,0.4821428571428571,1,9,False,0.2046245038509369,0.41564038395881653
4,train,47,ksas_m1_p12_i,33,0.4107142857142857,1,9,False,0.17087365686893463,0.3235931098461151
4,train,48,ksas_m1_p13_d,38,0.3214285714285714,1,9,False,0.12425284087657928,0.2453007698059082
4,train,49,ksas_m1_p13_i,34,0.3928571428571429,1,9,False,0.1612735390663147,0.305672287940979
4,train,50,ksas_m1_p14_d,36,0.3571428571428571,1,9,False,0.1428190916776657,0.2797619104385376
4,train,51,ksas_m1_p14_i,37,0.3392857142857143,1,9,False,0.13254740834236145,0.24806952476501465
4,train,52,ksas_m1_p15_d,44,0.2142857142857143,1,9,False,0.07315824180841446,0.20941561460494995
4,train,53,ksas_m1_p15_i,47,0.1607142857142857,1,9,False,0.04709009826183319,0.1367781162261963
4,train,54,ksas_m1_p16_d,31,0.4464285714285714,1,9,False,0.18832823634147644,0.3888248801231384
4,train,55,ksas_m1_p16_i,37,0.3392857142857143,1,9,False,0.1336926817893982,0.2842664122581482
4,train,58,ksas_m1_p18_d,51,0.0892857142857143,1,9,False,0.02607247233390808,0.07177871465682983
4,train,59,ksas_m1_p18_i,42,0.25,1,9,False,0.08934083580970764,0.1845238208770752
4,train,60,ksas_m1_p19_d,44,0.2142857142857143,1,9,False,0.07308630645275116,0.18993502855300903
4,train,61,ksas_m1_p19_i,39,0.3035714285714286,1,9,False,0.11544458568096161,0.23351651430130005
4,train,62,ksas_m1_p02_d,27,0.5178571428571428,1,9,False,0.2242540419101715,0.47949734330177307
4,train,63,ksas_m1_p02_i,28,0.5,1,9,False,0.21306924521923065,0.375
4,train,64,ksas_m1_p20_d,26,0.5357142857142857,1,9,False,0.2293747216463089,0.4148351550102234
4,train,65,ksas_m1_p20_i,29,0.4821428571428571,1,9,False,0.20462407171726227,0.3645320236682892
4,train,68,ksas_m1_p04_d,29,0.4821428571428571,1,9,False,0.20735104382038116,0.4322660267353058
4,train,69,ksas_m1_p04_i,39,0.3035714285714286,1,9,False,0.11716041713953018,0.2490842342376709
4,train,70,ksas_m1_p05_d,30,0.4642857142857143,1,9,False,0.19683247804641724,0.37142857909202576
4,train,71,ksas_m1_p05_i,30,0.4642857142857143,1,9,False,0.1972324699163437,0.37142857909202576
4,train,72,ksas_m1_p06_d,36,0.3571428571428571,1,9,False,0.14197926223278046,0.2678571343421936
4,train,73,ksas_m1_p06_i,28,0.5,1,9,False,0.21485261619091034,0.4642857015132904
4,train,76,ksas_m1_p08_d,36,0.3571428571428571,1,9,False,0.14213015139102936,0.2599206566810608
4,train,77,ksas_m1_p08_i,36,0.3571428571428571,1,9,False,0.14516408741474152,0.2777777910232544
4,train,80,ksas_m2_p01_d,31,0.4464285714285714,1,9,False,0.18660126626491547,0.37442395091056824
4,train,81,ksas_m2_p01_i,30,0.4642857142857143,1,9,False,0.19632700085639954,0.40238097310066223
4,train,82,ksas_m2_p10_d,30,0.4642857142857143,1,9,False,0.19752930104732513,0.3869047462940216
4,train,83,ksas_m2_p10_i,20,0.6428571428571428,1,9,False,0.2893187999725342,0.5464285612106323
4,train,84,ksas_m2_p11_d,24,0.5714285714285714,1,9,False,0.2506023347377777,0.523809552192688
4,train,85,ksas_m2_p11_i,20,0.6428571428571428,1,9,False,0.287296861410141,0.610714316368103
4,train,86,ksas_m2_p12_d,30,0.4642857142857143,1,9,False,0.19805367290973663,0.3869047462940216
4,train,87,ksas_m2_p12_i,25,0.5535714285714286,1,9,False,0.24005478620529175,0.4692856967449188
4,train,88,ksas_m2_p13_d,23,0.5892857142857143,1,9,False,0.26226624846458435,0.5124223232269287
4,train,89,ksas_m2_p13_i,25,0.5535714285714286,1,9,False,0.24219010770320892,0.4649999737739563
4,train,90,ksas_m2_p14_d,33,0.4107142857142857,1,9,False,0.16788600385189056,0.37337666749954224
4,train,91,ksas_m2_p14_i,33,0.4107142857142857,1,9,False,0.17193512618541718,0.3484848737716675
4,train,92,ksas_m2_p15_d,40,0.2857142857142857,1,9,False,0.10827428847551346,0.2428571581840515
4,train,93,ksas_m2_p15_i,29,0.4821428571428571,1,9,False,0.20557257533073425,0.39901480078697205
4,train,94,ksas_m2_p16_d,26,0.5357142857142857,1,9,False,0.23539341986179352,0.5151098966598511
4,train,95,ksas_m2_p16_i,32,0.4285714285714286,1,9,False,0.17941291630268097,0.3482142984867096
4,train,98,ksas_m2_p18_d,30,0.4642857142857143,1,9,False,0.1997535675764084,0.4333333373069763
4,train,99,ksas_m2_p18_i,26,0.5357142857142857,1,9,False,0.23461121320724487,0.4148351550102234
4,train,100,ksas_m2_p19_d,51,0.0892857142857143,1,9,False,0.024962306022644043,0.07002800703048706
4,train,101,ksas_m2_p19_i,30,0.4642857142857143,1,9,False,0.19797493517398834,0.3999999761581421
4,train,102,ksas_m2_p02_d,27,0.5178571428571428,1,9,False,0.22470411658287048,0.460317462682724
4,train,103,ksas_m2_p02_i,28,0.5,1,9,False,0.2136361449956894,0.4107142984867096
4,train,104,ksas_m2_p20_d,29,0.4821428571428571,1,9,False,0.20604011416435242,0.3657635450363159
4,train,105,ksas_m2_p20_i,26,0.5357142857142857,1,9,False,0.23056848347187042,0.4148351550102234
4,train,108,ksas_m2_p04_d,26,0.5357142857142857,1,9,False,0.23464027047157288,0.4532967209815979
4,train,109,ksas_m2_p04_i,28,0.5,1,9,False,0.21538406610488892,0.4464285671710968
4,train,110,ksas_m2_p05_d,42,0.25,1,9,False,0.09258472919464111,0.2202380895614624
4,train,111,ksas_m2_p05_i,35,0.375,1,9,False,0.15403440594673157,0.2785714566707611
4,train,112,ksas_m2_p06_d,27,0.5178571428571428,1,9,False,0.22544381022453308,0.4411375820636749
4,train,113,ksas_m2_p06_i,25,0.5535714285714286,1,9,False,0.24015164375305176,0.42071428894996643
4,train,116,ksas_m2_p08_d,33,0.4107142857142857,1,9,False,0.1707780808210373,0.3484848737716675
4,train,117,ksas_m2_p08_i,35,0.375,1,9,False,0.15340372920036316,0.3107143044471741
