fold,split,dilation,sample_count,effective_receptive_field_samples,mean_padding_fraction,mean_absolute_feature_delta,median_absolute_feature_delta,max_absolute_feature_delta,padding_delta_correlation
4,train,1,192,9,0.40513392857142855,0.16790544513302544,0.1681910902261734,0.30571040511131287,0.9982178217204808
4,test,1,48,9,0.37276785714285715,0.15515862508133674,0.1542191281914711,0.3011142909526825,0.9968611478862472
4,train,2,192,17,0.40513392857142855,0.13822803010892434,0.1337045431137085,0.2720484733581543,0.9880595801573122
4,test,2,48,17,0.37276785714285715,0.12927506623479226,0.1211438737809658,0.2740737199783325,0.9848087148057996
4,train,3,192,25,0.40513392857142855,0.12099475319458482,0.11070237308740616,0.24082736670970917,0.9735962492325579
4,test,3,48,25,0.37276785714285715,0.11361525126267225,0.10237270221114159,0.21461018919944763,0.9802484035391944
4,train,4,192,33,0.40513392857142855,0.11630959712783806,0.11048990488052368,0.22753816843032837,0.9549938103310233
4,test,4,48,33,0.37276785714285715,0.10801800596527755,0.10447556525468826,0.1758575439453125,0.977668286227181
4,train,5,192,41,0.40513392857142855,0.1159487414212587,0.11597026884555817,0.20801693201065063,0.9215437580203895
4,test,5,48,41,0.37276785714285715,0.10599251378638049,0.11120295152068138,0.17636649310588837,0.9302884961120697
4,train,6,192,49,0.40513392857142855,0.11719657349749468,0.11901270970702171,0.18950402736663818,0.8987047306034893
4,test,6,48,49,0.37276785714285715,0.10554001301837464,0.10952901095151901,0.1642540693283081,0.8861055156343248
