model,fold_count,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,class_0_precision_mean,class_0_precision_std,class_0_recall_mean,class_0_recall_std,class_0_f1_mean,class_0_f1_std,class_1_precision_mean,class_1_precision_std,class_1_recall_mean,class_1_recall_std,class_1_f1_mean,class_1_f1_std,class_2_precision_mean,class_2_precision_std,class_2_recall_mean,class_2_recall_std,class_2_f1_mean,class_2_f1_std,class_3_precision_mean,class_3_precision_std,class_3_recall_mean,class_3_recall_std,class_3_f1_mean,class_3_f1_std,class_4_precision_mean,class_4_precision_std,class_4_recall_mean,class_4_recall_std,class_4_f1_mean,class_4_f1_std,class_5_precision_mean,class_5_precision_std,class_5_recall_mean,class_5_recall_std,class_5_f1_mean,class_5_f1_std
majority,5,0.047619047619047616,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
statistical_logistic_regression,5,0.8861196700902584,0.059067725023798076,0.8875,0.058333333333333355,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.95,0.09999999999999999,0.9714285714285715,0.05714285714285716,0.7917460317460318,0.11426102025983685,0.8,0.1274754878398196,0.788422035480859,0.08681686110655913,0.7826190476190475,0.15108751649862856,0.75,0.2091650066335189,0.7603968253968254,0.17135808368602057,0.9527777777777778,0.05800170282728085,0.95,0.06123724356957945,0.9499019607843138,0.04686274509803921,0.8227777777777778,0.13669827999315287,0.875,0.11180339887498948,0.8465686274509803,0.12246663897746816
statistical_random_forest,5,0.9092287909315772,0.0433128801568371,0.9083333333333332,0.04487637339278753,0.9777777777777779,0.04444444444444447,1.0,0.0,0.9882352941176471,0.023529411764705885,0.96,0.07999999999999999,0.925,0.09999999999999999,0.9358730158730157,0.0576835093522991,0.8778571428571429,0.11194933256265749,0.825,0.1274754878398196,0.8442063492063492,0.09227793852827157,0.8325396825396825,0.11502187945709408,0.85,0.1224744871391589,0.8394117647058824,0.11271423277428716,0.9777777777777779,0.04444444444444447,0.95,0.09999999999999999,0.9596638655462184,0.05609519081774333,0.884090909090909,0.176103369343732,0.9,0.09354143466934853,0.887982456140351,0.13642863761312216
