model,case_count,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,class_0_precision_mean,class_0_precision_std,class_0_precision_min,class_0_precision_max,class_0_recall_mean,class_0_recall_std,class_0_recall_min,class_0_recall_max,class_0_f1_mean,class_0_f1_std,class_0_f1_min,class_0_f1_max,class_1_precision_mean,class_1_precision_std,class_1_precision_min,class_1_precision_max,class_1_recall_mean,class_1_recall_std,class_1_recall_min,class_1_recall_max,class_1_f1_mean,class_1_f1_std,class_1_f1_min,class_1_f1_max,class_2_precision_mean,class_2_precision_std,class_2_precision_min,class_2_precision_max,class_2_recall_mean,class_2_recall_std,class_2_recall_min,class_2_recall_max,class_2_f1_mean,class_2_f1_std,class_2_f1_min,class_2_f1_max,class_3_precision_mean,class_3_precision_std,class_3_precision_min,class_3_precision_max,class_3_recall_mean,class_3_recall_std,class_3_recall_min,class_3_recall_max,class_3_f1_mean,class_3_f1_std,class_3_f1_min,class_3_f1_max,class_4_precision_mean,class_4_precision_std,class_4_precision_min,class_4_precision_max,class_4_recall_mean,class_4_recall_std,class_4_recall_min,class_4_recall_max,class_4_f1_mean,class_4_f1_std,class_4_f1_min,class_4_f1_max,class_5_precision_mean,class_5_precision_std,class_5_precision_min,class_5_precision_max,class_5_recall_mean,class_5_recall_std,class_5_recall_min,class_5_recall_max,class_5_f1_mean,class_5_f1_std,class_5_f1_min,class_5_f1_max
xrocket_random_forest,25,0.8841870677195754,0.06753019243369499,0.7930555555555556,1.0,0.8849999999999999,0.06721648276691927,0.7916666666666666,1.0,0.9766666666666667,0.046765767790522134,0.875,1.0,0.99,0.03391164991562634,0.875,1.0,0.9829411764705882,0.037070493027301345,0.875,1.0,0.9627777777777778,0.05439340010799696,0.875,1.0,0.93,0.062048368229954284,0.875,1.0,0.9439019607843138,0.03708917731902704,0.875,1.0,0.7994516594516595,0.1058305895808144,0.6,1.0,0.75,0.23717082451262844,0.375,1.0,0.7594770183376995,0.17141441091800974,0.46153846153846156,1.0,0.8018354978354979,0.18712728860261135,0.5,1.0,0.785,0.11467344941179716,0.625,1.0,0.7877073074843973,0.14297905068364566,0.5555555555555556,1.0,0.9222222222222223,0.09702360664762767,0.75,1.0,0.93,0.09407443861113389,0.75,1.0,0.9255686274509805,0.0930604099911869,0.75,1.0,0.8906363636363637,0.16399244086590403,0.5454545454545454,1.0,0.925,0.1,0.75,1.0,0.9055263157894737,0.13561630464953667,0.631578947368421,1.0
xrocket_logistic_regression,25,0.8838126960185784,0.0699497356213821,0.7700477626948216,0.9582516339869281,0.8833333333333334,0.070464727188699,0.7708333333333334,0.9583333333333334,1.0,0.0,1.0,1.0,0.95,0.09999999999999999,0.75,1.0,0.9714285714285715,0.05714285714285716,0.8571428571428571,1.0,0.9527777777777778,0.05800170282728084,0.875,1.0,0.925,0.1,0.75,1.0,0.9346638655462186,0.060248350269446874,0.8571428571428571,1.0,0.7216666666666667,0.12263063077770689,0.5555555555555556,0.875,0.825,0.1274754878398196,0.625,1.0,0.7684640522875817,0.11977425118155373,0.5882352941176471,0.8888888888888888,0.8905555555555555,0.09499187749551777,0.7777777777777778,1.0,0.8,0.1695582495781317,0.5,1.0,0.8342113768584357,0.12463922981499756,0.6153846153846154,1.0,0.8877777777777777,0.10185925898991857,0.75,1.0,0.9,0.1224744871391589,0.75,1.0,0.8874416433239962,0.08410366413194634,0.75,1.0,0.92,0.16,0.6,1.0,0.9,0.09354143466934854,0.75,1.0,0.9066666666666667,0.1236482466066094,0.6666666666666666,1.0
