group_level,left_case,right_case,spearman_rank_correlation
axis,29_fold_0,29_fold_1,0.5
axis,29_fold_0,29_fold_2,1.0
axis,29_fold_0,29_fold_3,1.0
axis,29_fold_0,29_fold_4,1.0
axis,29_fold_0,42_fold_0,1.0
axis,29_fold_0,42_fold_1,0.5
axis,29_fold_0,42_fold_2,1.0
axis,29_fold_0,42_fold_3,1.0
axis,29_fold_0,42_fold_4,1.0
axis,29_fold_0,7_fold_0,0.5
axis,29_fold_0,7_fold_1,0.5
axis,29_fold_0,7_fold_2,0.5
axis,29_fold_0,7_fold_3,0.5
axis,29_fold_0,7_fold_4,0.5
axis,29_fold_1,29_fold_2,0.5
axis,29_fold_1,29_fold_3,0.5
axis,29_fold_1,29_fold_4,0.5
axis,29_fold_1,42_fold_0,0.5
axis,29_fold_1,42_fold_1,1.0
axis,29_fold_1,42_fold_2,0.5
axis,29_fold_1,42_fold_3,0.5
axis,29_fold_1,42_fold_4,0.5
axis,29_fold_1,7_fold_0,1.0
axis,29_fold_1,7_fold_1,1.0
axis,29_fold_1,7_fold_2,1.0
axis,29_fold_1,7_fold_3,1.0
axis,29_fold_1,7_fold_4,1.0
axis,29_fold_2,29_fold_3,1.0
axis,29_fold_2,29_fold_4,1.0
axis,29_fold_2,42_fold_0,1.0
axis,29_fold_2,42_fold_1,0.5
axis,29_fold_2,42_fold_2,1.0
axis,29_fold_2,42_fold_3,1.0
axis,29_fold_2,42_fold_4,1.0
axis,29_fold_2,7_fold_0,0.5
axis,29_fold_2,7_fold_1,0.5
axis,29_fold_2,7_fold_2,0.5
axis,29_fold_2,7_fold_3,0.5
axis,29_fold_2,7_fold_4,0.5
axis,29_fold_3,29_fold_4,1.0
axis,29_fold_3,42_fold_0,1.0
axis,29_fold_3,42_fold_1,0.5
axis,29_fold_3,42_fold_2,1.0
axis,29_fold_3,42_fold_3,1.0
axis,29_fold_3,42_fold_4,1.0
axis,29_fold_3,7_fold_0,0.5
axis,29_fold_3,7_fold_1,0.5
axis,29_fold_3,7_fold_2,0.5
axis,29_fold_3,7_fold_3,0.5
axis,29_fold_3,7_fold_4,0.5
axis,29_fold_4,42_fold_0,1.0
axis,29_fold_4,42_fold_1,0.5
axis,29_fold_4,42_fold_2,1.0
axis,29_fold_4,42_fold_3,1.0
axis,29_fold_4,42_fold_4,1.0
axis,29_fold_4,7_fold_0,0.5
axis,29_fold_4,7_fold_1,0.5
axis,29_fold_4,7_fold_2,0.5
axis,29_fold_4,7_fold_3,0.5
axis,29_fold_4,7_fold_4,0.5
axis,42_fold_0,42_fold_1,0.5
axis,42_fold_0,42_fold_2,1.0
axis,42_fold_0,42_fold_3,1.0
axis,42_fold_0,42_fold_4,1.0
axis,42_fold_0,7_fold_0,0.5
axis,42_fold_0,7_fold_1,0.5
axis,42_fold_0,7_fold_2,0.5
axis,42_fold_0,7_fold_3,0.5
axis,42_fold_0,7_fold_4,0.5
axis,42_fold_1,42_fold_2,0.5
axis,42_fold_1,42_fold_3,0.5
axis,42_fold_1,42_fold_4,0.5
axis,42_fold_1,7_fold_0,1.0
