group_level,group_value,case_count,importance_mean,importance_std,importance_min,importance_max,mean_rank,rank_std
axis,z,25,0.3490825082074656,0.0063573027152096255,0.3394739695433337,0.36102167077534153,1.0,0.0
axis,y,25,0.3269972635371636,0.00711233673940814,0.3121190846417289,0.3383801836702453,2.36,0.48000000000000004
axis,x,25,0.3239202282553708,0.00605411549676337,0.3152258769046071,0.338918444468818,2.64,0.48000000000000004
channel,gravity_z,25,0.07283548567157162,0.004127497702911833,0.06467419129312277,0.08235869989596,1.24,0.5122499389946279
channel,gravity_x,25,0.06686914544953887,0.00381830440371075,0.058532121263808544,0.07341032904362406,3.16,1.5919798993705918
channel,accelerometer_z,25,0.06416033275765395,0.0033365724236207287,0.058286506059254825,0.07046994487711208,4.28,1.4565713164826501
channel,gravity_y,25,0.06337602123285768,0.006428065060102336,0.053493188148549094,0.07744091525737445,4.92,2.6820887382784337
channel,game_rot_vec_z,25,0.062084200903676,0.004209043338728216,0.05497866191375602,0.07158354736722597,5.12,2.337862271392393
channel,gyros_x,25,0.06194962775938802,0.004679871331614712,0.05346662734579982,0.07205460552566621,5.6,2.4657656011875906
channel,game_rot_vec_y,25,0.059348604136035564,0.003879456668247251,0.04934598819388685,0.06502448509199732,6.84,2.852086955196142
channel,gyros_y,25,0.05748959885946796,0.0033829318621375177,0.05185582639671331,0.06365307673778091,7.6,2.244994432064365
channel,magn_field_x,25,0.05397297560690761,0.003454852455748733,0.04753974139956639,0.0631253501027637,10.12,2.196724834839357
channel,accelerometer_y,25,0.05363852994705761,0.003876181807815846,0.045691702501619705,0.06257007473970932,10.36,2.9783216750378054
channel,gyros_z,25,0.052883626623927434,0.0038057276504294565,0.04432814590769357,0.060132360640682204,10.8,2.4657656011875906
channel,game_rot_vec_x,25,0.05061163618465742,0.0029174673471658503,0.04413120332100146,0.05544587703090576,12.44,2.515233587561998
channel,accelerometer_x,25,0.050477901544793966,0.0031244992825629155,0.04522138109610866,0.05654345241717184,12.84,2.0529003872570146
channel,magn_field_y,25,0.04914934048859014,0.003975458045118829,0.04265219567657699,0.056835902378615355,13.6,2.7129319932501073
channel,lin_accel_z,25,0.04869793262659378,0.004126726931153356,0.041233188503132706,0.05749628874951027,13.84,2.633324894501246
channel,magn_field_z,25,0.04842092962404276,0.0034091855716934017,0.04350345449713782,0.056925334821265425,14.2,2.227105745132009
channel,lin_accel_y,25,0.0439951688731546,0.0035560625267820477,0.03808901770107471,0.05234926662147044,16.4,1.2649110640673518
channel,lin_accel_x,25,0.04003894171008498,0.003087057270360752,0.03354410111994895,0.04651607908296494,17.64,0.7418894796396563
dilation,6,25,0.40456397529287164,0.009572868966661313,0.382992202701101,0.42425917377933,1.0,0.0
dilation,5,25,0.24784607440423032,0.008366088395854385,0.2285508673401959,0.26208961362561844,2.0,0.0
dilation,4,25,0.14515914052905507,0.005117959018675883,0.13480620066573942,0.15589677167883195,3.0,0.0
dilation,3,25,0.07909696625418494,0.004680337384431671,0.07106604238507853,0.08760787004060543,4.0,0.0
dilation,1,25,0.06307681522959525,0.0029707372780753342,0.05828895447038457,0.06864510418657938,5.36,0.48
dilation,2,25,0.060257028290062846,0.0035491956160043536,0.05366278848463892,0.06735517986312177,5.64,0.48
sensor_family,gravity,25,0.2030806523539682,0.010265441051584844,0.18278229964342932,0.22151515564694174,1.0,0.0
sensor_family,gyros,25,0.1723228532427834,0.005766640020301982,0.15893279639993435,0.1845310187279639,2.72,0.7756287771866126
sensor_family,game_rot_vec,25,0.17204444122436902,0.007417065921092704,0.1582430371863088,0.18634597575196873,2.96,0.9583318840568752
sensor_family,accelerometer,25,0.1682767642495055,0.004844179670890615,0.15939938866237144,0.18220822229073436,3.36,0.6248199740725324
sensor_family,magn_field,25,0.1515432457195405,0.005969364213224004,0.13908485701771725,0.16079263872535968,4.96,0.19595917942265426
sensor_family,lin_accel,25,0.13273204320983337,0.007299836872693578,0.12214100152161701,0.1468767623232936,6.0,0.0
temporal_scale_bin,long,25,0.6524100496971017,0.00788297580643442,0.6365986473031097,0.6718419015722629,1.0,0.0
temporal_scale_bin,intermediate,25,0.22425610678323998,0.0054233341802286915,0.21390196183458918,0.23372365175111903,2.0,0.0
temporal_scale_bin,short,25,0.12333384351965812,0.005135784681080156,0.1119517429550235,0.13165113632073958,3.0,0.0
