fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
1,train,0,ksas_m0_p01_d,27,0.5178571428571428,1,9,False,0.22260147333145142,0.4986772835254669
1,train,1,ksas_m0_p01_i,31,0.4464285714285714,1,9,False,0.18404605984687805,0.37442395091056824
1,train,4,ksas_m0_p11_d,52,0.0714285714285714,1,9,False,0.025361215695738792,0.06730771064758301
1,train,5,ksas_m0_p11_i,28,0.5,1,9,False,0.21684855222702026,0.4464285671710968
1,train,8,ksas_m0_p13_d,38,0.3214285714285714,1,9,False,0.12490800023078918,0.2697368264198303
1,train,9,ksas_m0_p13_i,40,0.2857142857142857,1,9,False,0.10656651854515076,0.27142858505249023
1,train,10,ksas_m0_p14_d,34,0.3928571428571429,1,9,False,0.15944363176822662,0.3928571343421936
1,train,11,ksas_m0_p14_i,31,0.4464285714285714,1,9,False,0.1867433786392212,0.4176267385482788
1,train,12,ksas_m0_p15_d,41,0.2678571428571429,1,9,False,0.09744921326637268,0.20252615213394165
1,train,13,ksas_m0_p15_i,40,0.2857142857142857,1,9,False,0.10633976012468338,0.23571425676345825
1,train,16,ksas_m0_p17_d,34,0.3928571428571429,1,9,False,0.15454794466495514,0.29411762952804565
1,train,17,ksas_m0_p17_i,23,0.5892857142857143,1,9,False,0.25450944900512695,0.5636646151542664
1,train,18,ksas_m0_p18_d,23,0.5892857142857143,1,9,False,0.2520062029361725,0.5380434989929199
1,train,19,ksas_m0_p18_i,38,0.3214285714285714,1,9,False,0.12590816617012024,0.29605263471603394
1,train,20,ksas_m0_p19_d,35,0.375,1,9,False,0.1433437317609787,0.3642857074737549
1,train,21,ksas_m0_p19_i,39,0.3035714285714286,1,9,False,0.11293354630470276,0.2646520137786865
1,train,22,ksas_m0_p02_d,32,0.4285714285714286,1,9,False,0.17821121215820312,0.3883928656578064
1,train,23,ksas_m0_p02_i,29,0.4821428571428571,1,9,False,0.20253977179527283,0.4322660267353058
1,train,24,ksas_m0_p20_d,36,0.3571428571428571,1,9,False,0.1455511897802353,0.3373015522956848
1,train,25,ksas_m0_p20_i,22,0.6071428571428572,1,9,False,0.26705726981163025,0.5162338018417358
1,train,26,ksas_m0_p03_d,31,0.4464285714285714,1,9,False,0.18732282519340515,0.40322577953338623
1,train,27,ksas_m0_p03_i,19,0.6607142857142857,1,9,False,0.3011142909526825,0.6259398460388184
1,train,28,ksas_m0_p04_d,49,0.125,1,9,False,0.030762404203414917,0.09438776969909668
