fold,split,dilation,sample_count,effective_receptive_field_samples,mean_padding_fraction,mean_absolute_feature_delta,median_absolute_feature_delta,max_absolute_feature_delta,padding_delta_correlation
1,train,1,192,9,0.38560267857142855,0.15919212134031113,0.1545533612370491,0.3011142909526825,0.9972608996155221
1,test,1,48,9,0.45089285714285704,0.19001192025219402,0.1838705763220787,0.30571040511131287,0.9991844326953468
1,train,2,192,17,0.38560267857142855,0.1308926407849261,0.12349086627364159,0.2725103795528412,0.9848874148472129
1,test,2,48,17,0.45089285714285704,0.15729718500127396,0.15158698707818985,0.27190807461738586,0.9967263402858915
1,train,3,192,25,0.38560267857142855,0.11485254001066399,0.10597141087055206,0.21380621194839478,0.9727916683493281
1,test,3,48,25,0.45089285714285704,0.1355430536593,0.13074157387018204,0.23928020894527435,0.9685392935224149
1,train,4,192,33,0.38560267857142855,0.11054774350486696,0.10660811886191368,0.19927486777305603,0.9593487388035447
1,test,4,48,33,0.45089285714285704,0.1296350546181202,0.1272805705666542,0.22615505754947662,0.9578803493358358
1,train,5,192,41,0.38560267857142855,0.1107074010069482,0.11373746767640114,0.19205018877983093,0.9280533981798119
1,test,5,48,41,0.45089285714285704,0.12612499358753362,0.12171313539147377,0.20695528388023376,0.8992305868284983
1,train,6,192,49,0.38560267857142855,0.11214087549403,0.11487405002117157,0.18472672998905182,0.9016254150059355
1,test,6,48,49,0.45089285714285704,0.1255855734925717,0.12176282331347466,0.18833418190479279,0.865337112214819
