fold,split,dilation,sample_count,effective_receptive_field_samples,mean_padding_fraction,mean_absolute_feature_delta,median_absolute_feature_delta,max_absolute_feature_delta,padding_delta_correlation
2,train,1,192,9,0.3890438988095239,0.16051336967211682,0.15429117530584335,0.30571040511131287,0.9975236915012957
2,test,1,48,9,0.4371279761904762,0.18472692692497125,0.20692484825849533,0.287296861410141,0.997268266942932
2,train,2,192,17,0.3890438988095239,0.13179479242535308,0.12344640865921974,0.27252280712127686,0.9851386560444394
2,test,2,48,17,0.4371279761904762,0.154196821191969,0.17319835722446442,0.2536919116973877,0.9878169088726461
2,train,3,192,25,0.3890438988095239,0.11537518332867573,0.10570277646183968,0.23901645839214325,0.971310023089888
2,test,3,48,25,0.4371279761904762,0.13377046414340535,0.14787773042917252,0.21385109424591064,0.9736776724020016
2,train,4,192,33,0.3890438988095239,0.111362297165518,0.10609529167413712,0.22641225159168243,0.955194053024556
2,test,4,48,33,0.4371279761904762,0.12578671433342,0.13659117370843887,0.19979922473430634,0.9638770369683508
2,train,5,192,41,0.3890438988095239,0.11110473026443894,0.11318250373005867,0.20724926888942719,0.918396907761095
2,test,5,48,41,0.4371279761904762,0.12363945029210299,0.1295705810189247,0.19175168871879578,0.9303735343165346
2,train,6,192,49,0.3890438988095239,0.11249656768632121,0.114643894135952,0.18855547904968262,0.887231792421646
2,test,6,48,49,0.4371279761904762,0.12335306402140607,0.12935547530651093,0.18446151912212372,0.9127160676527643
