fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
2,train,0,ksas_m0_p01_d,27,0.5178571428571428,1,9,False,0.22260147333145142,0.4986772835254669
2,train,1,ksas_m0_p01_i,31,0.4464285714285714,1,9,False,0.18404605984687805,0.37442395091056824
2,train,2,ksas_m0_p10_d,33,0.4107142857142857,1,9,False,0.1681293547153473,0.31114718317985535
2,train,3,ksas_m0_p10_i,43,0.2321428571428571,1,9,False,0.08130499720573425,0.1943521499633789
2,train,6,ksas_m0_p12_d,39,0.3035714285714286,1,9,False,0.1120704784989357,0.26236265897750854
2,train,7,ksas_m0_p12_i,18,0.6785714285714286,1,9,False,0.2935090661048889,0.5853174924850464
2,train,8,ksas_m0_p13_d,38,0.3214285714285714,1,9,False,0.12490800023078918,0.2697368264198303
2,train,9,ksas_m0_p13_i,40,0.2857142857142857,1,9,False,0.10656651854515076,0.27142858505249023
2,train,10,ksas_m0_p14_d,34,0.3928571428571429,1,9,False,0.15944363176822662,0.3928571343421936
2,train,11,ksas_m0_p14_i,31,0.4464285714285714,1,9,False,0.1867433786392212,0.4176267385482788
2,train,12,ksas_m0_p15_d,41,0.2678571428571429,1,9,False,0.09744921326637268,0.20252615213394165
2,train,13,ksas_m0_p15_i,40,0.2857142857142857,1,9,False,0.10633976012468338,0.23571425676345825
2,train,14,ksas_m0_p16_d,30,0.4642857142857143,1,9,False,0.19869378209114075,0.44880950450897217
2,train,15,ksas_m0_p16_i,28,0.5,1,9,False,0.21221891045570374,0.4821428656578064
2,train,16,ksas_m0_p17_d,34,0.3928571428571429,1,9,False,0.15454794466495514,0.29411762952804565
2,train,17,ksas_m0_p17_i,23,0.5892857142857143,1,9,False,0.25450944900512695,0.5636646151542664
2,train,18,ksas_m0_p18_d,23,0.5892857142857143,1,9,False,0.2520062029361725,0.5380434989929199
2,train,19,ksas_m0_p18_i,38,0.3214285714285714,1,9,False,0.12590816617012024,0.29605263471603394
