fold,split,sample_index,sample_id,original_length,padding_fraction,dilation,effective_receptive_field_samples,receptive_field_exceeds_original_length,mean_absolute_feature_delta,max_absolute_feature_delta
3,train,166,ksas_m4_p12_d,36,0.3571428571428571,2,17,False,0.1081034243106842,0.2876984477043152
3,train,167,ksas_m4_p12_i,32,0.4285714285714286,2,17,False,0.14441315829753876,0.3482142984867096
3,train,168,ksas_m4_p13_d,36,0.3571428571428571,2,17,False,0.11174625158309937,0.317460298538208
3,train,169,ksas_m4_p13_i,36,0.3571428571428571,2,17,False,0.10938680917024612,0.2777777910232544
3,train,170,ksas_m4_p14_d,33,0.4107142857142857,2,17,False,0.13310149312019348,0.29870131611824036
3,train,171,ksas_m4_p14_i,37,0.3392857142857143,2,17,False,0.09833908826112747,0.24758684635162354
3,train,174,ksas_m4_p16_d,36,0.3571428571428571,2,17,False,0.11269893497228622,0.2876984477043152
3,train,175,ksas_m4_p16_i,38,0.3214285714285714,2,17,False,0.09239181876182556,0.2537594437599182
3,train,176,ksas_m4_p17_d,52,0.0714285714285714,2,17,False,0.025413906201720238,0.059065937995910645
3,train,177,ksas_m4_p17_i,56,0.0,2,17,False,0.0,0.0
3,train,182,ksas_m4_p02_d,35,0.375,2,17,False,0.12036801874637604,0.3321428894996643
3,train,183,ksas_m4_p02_i,31,0.4464285714285714,2,17,False,0.15109995007514954,0.36002305150032043
3,train,184,ksas_m4_p20_d,25,0.5535714285714286,2,17,False,0.20788265764713287,0.4649999737739563
3,train,185,ksas_m4_p20_i,36,0.3571428571428571,2,17,False,0.11055471003055573,0.2698413133621216
3,train,186,ksas_m4_p03_d,37,0.3392857142857143,2,17,False,0.10344050079584122,0.2842664122581482
3,train,187,ksas_m4_p03_i,36,0.3571428571428571,2,17,False,0.10387403517961502,0.2678571343421936
3,train,188,ksas_m4_p04_d,33,0.4107142857142857,2,17,False,0.13475815951824188,0.31114718317985535
3,train,189,ksas_m4_p04_i,56,0.0,2,17,False,0.0,0.0
3,train,192,ksas_m4_p06_d,36,0.3571428571428571,2,17,False,0.11007575690746307,0.2678571343421936
3,train,193,ksas_m4_p06_i,36,0.3571428571428571,2,17,False,0.10698669403791428,0.2678571343421936
3,train,194,ksas_m4_p07_d,35,0.375,2,17,False,0.11892244219779968,0.267857164144516
3,train,195,ksas_m4_p07_i,37,0.3392857142857143,2,17,False,0.09797617048025131,0.26592665910720825
3,train,196,ksas_m4_p08_d,35,0.375,2,17,False,0.11892244219779968,0.30000001192092896
3,train,197,ksas_m4_p08_i,36,0.3571428571428571,2,17,False,0.10617834329605103,0.317460298538208
3,train,198,ksas_m4_p09_d,37,0.3392857142857143,2,17,False,0.09983931481838226,0.26592665910720825
3,train,199,ksas_m4_p09_i,43,0.2321428571428571,2,17,False,0.06114731729030609,0.17815613746643066
3,train,200,ksas_m5_p01_d,40,0.2857142857142857,2,17,False,0.08167753368616104,0.22142857313156128
3,train,201,ksas_m5_p01_i,42,0.25,2,17,False,0.06671233475208282,0.2142857313156128
3,train,202,ksas_m5_p10_d,29,0.4821428571428571,2,17,False,0.17162492871284485,0.3657635450363159
3,train,203,ksas_m5_p10_i,22,0.6071428571428572,2,17,False,0.23544976115226746,0.4967532455921173
3,train,204,ksas_m5_p11_d,23,0.5892857142857143,2,17,False,0.2257930189371109,0.5124223232269287
3,train,205,ksas_m5_p11_i,24,0.5714285714285714,2,17,False,0.21300233900547028,0.5714285373687744
3,train,206,ksas_m5_p12_d,24,0.5714285714285714,2,17,False,0.21439595520496368,0.476190447807312
3,train,207,ksas_m5_p12_i,27,0.5178571428571428,2,17,False,0.18794354796409607,0.4246031939983368
3,train,208,ksas_m5_p13_d,36,0.3571428571428571,2,17,False,0.10915322601795197,0.2698413133621216
3,train,209,ksas_m5_p13_i,34,0.3928571428571429,2,17,False,0.1257912963628769,0.305672287940979
3,train,210,ksas_m5_p14_d,42,0.25,2,17,False,0.0634920671582222,0.1904761791229248
3,train,211,ksas_m5_p14_i,28,0.5,2,17,False,0.1800595223903656,0.4107142984867096
3,train,214,ksas_m5_p16_d,41,0.2678571428571429,2,17,False,0.07319233566522598,0.20252615213394165
3,train,215,ksas_m5_p16_i,38,0.3214285714285714,2,17,False,0.09147994220256805,0.26221805810928345
3,train,216,ksas_m5_p17_d,38,0.3214285714285714,2,17,False,0.08967980742454529,0.2368420958518982
3,train,217,ksas_m5_p17_i,46,0.1785714285714286,2,17,False,0.04611657187342644,0.1513974666595459
3,train,222,ksas_m5_p02_d,41,0.2678571428571429,2,17,False,0.06767232716083527,0.21559232473373413
3,train,223,ksas_m5_p02_i,36,0.3571428571428571,2,17,False,0.10922015458345413,0.2976190447807312
3,train,224,ksas_m5_p20_d,27,0.5178571428571428,2,17,False,0.18879914283752441,0.5178571343421936
3,train,225,ksas_m5_p20_i,25,0.5535714285714286,2,17,False,0.21092309057712555,0.5314285755157471
3,train,226,ksas_m5_p03_d,50,0.1071428571428571,2,17,False,0.03167233616113663,0.09000000357627869
3,train,227,ksas_m5_p03_i,40,0.2857142857142857,2,17,False,0.08018471300601959,0.2142857313156128
3,train,228,ksas_m5_p04_d,28,0.5,2,17,False,0.18187831342220306,0.4642857015132904
3,train,229,ksas_m5_p04_i,33,0.4107142857142857,2,17,False,0.13800311088562012,0.36093074083328247
3,train,232,ksas_m5_p06_d,45,0.1964285714285714,2,17,False,0.052790384739637375,0.14841270446777344
3,train,233,ksas_m5_p06_i,36,0.3571428571428571,2,17,False,0.11254410445690155,0.2579365074634552
3,train,234,ksas_m5_p07_d,27,0.5178571428571428,2,17,False,0.18833068013191223,0.4232804477214813
3,train,235,ksas_m5_p07_i,27,0.5178571428571428,2,17,False,0.18987080454826355,0.4027777910232544
3,train,236,ksas_m5_p08_d,33,0.4107142857142857,2,17,False,0.13481973111629486,0.31114718317985535
3,train,237,ksas_m5_p08_i,32,0.4285714285714286,2,17,False,0.14276856184005737,0.375
3,train,238,ksas_m5_p09_d,35,0.375,2,17,False,0.11956728249788284,0.28928571939468384
3,train,239,ksas_m5_p09_i,29,0.4821428571428571,2,17,False,0.1701030433177948,0.44889163970947266
3,test,12,ksas_m0_p15_d,41,0.2678571428571429,2,17,False,0.07091294974088669,0.20252615213394165
3,test,13,ksas_m0_p15_i,40,0.2857142857142857,2,17,False,0.08017762750387192,0.26428574323654175
3,test,18,ksas_m0_p18_d,23,0.5892857142857143,2,17,False,0.22002549469470978,0.5380434989929199
3,test,19,ksas_m0_p18_i,38,0.3214285714285714,2,17,False,0.10036873072385788,0.3129699230194092
3,test,20,ksas_m0_p19_d,35,0.375,2,17,False,0.11969954520463943,0.35357141494750977
3,test,21,ksas_m0_p19_i,39,0.3035714285714286,2,17,False,0.08687855303287506,0.27243590354919434
3,test,30,ksas_m0_p05_d,25,0.5535714285714286,2,17,False,0.2069600224494934,0.5314285755157471
3,test,31,ksas_m0_p05_i,34,0.3928571428571429,2,17,False,0.1267312616109848,0.3581932783126831
3,test,52,ksas_m1_p15_d,44,0.2142857142857143,2,17,False,0.055958181619644165,0.19480520486831665
