fold,split,dilation,sample_count,effective_receptive_field_samples,mean_padding_fraction,mean_absolute_feature_delta,median_absolute_feature_delta,max_absolute_feature_delta,padding_delta_correlation
3,train,1,192,9,0.4134114583333333,0.17276278159018452,0.17150745540857315,0.30571040511131287,0.9972147654005257
3,test,1,48,9,0.33965773809523814,0.1357292792527005,0.13794078677892685,0.2520062029361725,0.9983233245502787
3,train,2,192,17,0.4134114583333333,0.143045499183548,0.14048229157924652,0.27541759610176086,0.9861796493299464
3,test,2,48,17,0.33965773809523814,0.11048238379104684,0.10392870008945465,0.22002549469470978,0.9829231928942735
3,train,3,192,25,0.4134114583333333,0.12503144478735825,0.11992904916405678,0.24249917268753052,0.975520411882921
3,test,3,48,25,0.33965773809523814,0.09957255221282442,0.09175878763198853,0.19288136065006256,0.9720199218944052
3,train,4,192,33,0.4134114583333333,0.11961966734573555,0.11506427079439163,0.22858929634094238,0.9686284014028688
3,test,4,48,33,0.33965773809523814,0.09781320559947441,0.09543947130441666,0.16249854862689972,0.9469999777447489
3,train,5,192,41,0.4134114583333333,0.11841205120435916,0.11798764765262604,0.20965297520160675,0.9279750009554911
3,test,5,48,41,0.33965773809523814,0.09996222316597898,0.09942703694105148,0.15975311398506165,0.9436905559483976
3,train,6,192,49,0.4134114583333333,0.11901368203689344,0.12157318368554115,0.19117361307144165,0.8953578886099934
3,test,6,48,49,0.33965773809523814,0.10197258732902507,0.10179372876882553,0.16405659914016724,0.9164990436866665
